Nombre_d_eleves,Type_etablissement,Code_departement,latitude,longitude
106.0,Lycée,61,48.52261405775653,0.5442697346751203
829.0,Lycée,971,16.248948016177707,-61.52547029952397
2056.0,Lycée,81,43.9310426513977,2.1507599895273466
941.0,Lycée,33,45.123785110426255,-0.6606487305042764
1312.0,Lycée,03,46.56742606840772,3.3570105269385504
473.0,Lycée,31,43.629556204098996,1.4286998177797523
314.0,Lycée,87,45.89874263567997,0.9135798692252232
1452.0,Lycée,02,49.61441743603493,3.2209993583191534
1141.0,Lycée,53,48.074660686857605,-0.7867003068398215
272.0,Lycée,85,46.839477081008845,-1.8778198721812664
1553.0,Lycée,33,44.8085669032152,-0.6509307771425563
521.0,Lycée,72,48.35061061718822,0.36255970840619256
855.0,Lycée,85,46.466838938847026,-0.8137402910480006
1002.0,Lycée,49,47.48431708668414,-0.558317587228123
468.0,Lycée,75,48.84295808360027,2.296930023784056
169.0,Lycée,37,47.38238547352906,0.6896802963722642
315.0,Lycée,82,44.000232474241955,1.3608363246478583
963.0,Lycée,41,47.575123252592604,1.3015096498177088
333.0,Lycée,69,45.98891169099048,4.7205198923532725
1144.0,Lycée,18,47.081899960563725,2.3823898880211773
131.0,Lycée,18,46.734255636870365,2.5146202480412945
149.0,Lycée,28,48.5876240536965,1.5759800015236691
328.0,Lycée,87,45.83346976707202,1.2219177001496226
402.0,Lycée,25,47.218021648057224,5.97944976106934
137.0,Lycée,14,49.21103733153061,-0.37339035409288174
677.0,Lycée,29,48.38919775803535,-4.4687299885007485
519.0,Lycée,75,48.84396300439776,2.30887062707122
802.0,Lycée,85,46.453894715519255,-1.1596094364213456
518.0,Lycée,13,43.299991989880745,5.492524157481288
1752.0,Lycée,69,45.737224091298025,4.920180017199726
1117.0,Lycée,91,48.686526163050715,2.2988395791990444
1160.0,Lycée,34,43.45786289826628,3.416270130077084
528.0,Lycée,11,43.22800694556813,2.341099863907312
972.0,Lycée,75,48.83983368404702,2.4091802639968942
874.0,Lycée,54,48.66635879315081,6.16134945280061
158.0,Lycée,44,47.260609009534036,-1.5413703592902968
400.0,Lycée,49,47.448572127354154,-0.5512003228265708
1804.0,Lycée,14,49.16162588962467,-0.3527898002427645
1742.0,Lycée,57,49.1108310426235,6.208709887916892
1180.0,Lycée,02,49.38636408060398,3.3232694622224432
278.0,Lycée,52,48.64346675388151,4.9638204951459
1032.0,Lycée,51,49.242555600708044,4.0268702906229885
303.0,Lycée,69,45.768048410252206,4.83756994797316
894.0,Lycée,69,45.897099240762465,4.444200605734137
966.0,Lycée,973,5.161164125102446,-52.634180132677635
490.0,Lycée,972,14.624453245077484,-61.038489661255255
675.0,Lycée,46,44.608898789680346,2.0274603130997293
511.0,Lycée,79,46.994047823745994,-0.21449952829973687
717.0,Lycée,79,46.22464222205298,-0.14419971838075396
772.0,Lycée,75,48.881257741311366,2.3398703113015373
868.0,Lycée,13,43.528432872097824,5.453299968876162
336.0,Lycée,78,48.79569283736797,2.049200192949153
1089.0,Lycée,54,48.67834873331243,5.892889711653075
1855.0,Lycée,56,47.74728022639536,-3.3718501678622097
1396.0,Lycée,47,44.393956721245544,0.7100435852734273
767.0,Lycée,02,49.05385091178459,3.4004001044636314
906.0,Lycée,60,49.1916233219751,2.5712696312029752
424.0,Lycée,70,47.63421523784178,6.169640507387976
656.0,Lycée,91,48.62760128961957,2.3324093354738973
164.0,Lycée,26,44.92922417930048,4.894009676456697
389.0,Lycée,26,44.93135463860382,4.908720341951402
149.0,Lycée,13,43.64054771608984,5.08214968008688
696.0,Lycée,92,48.877777230001925,2.2352798118766684
501.0,Lycée,78,48.82617460634739,2.132655399073262
1341.0,Lycée,75,48.84972169363925,2.3197099335652727
645.0,Lycée,75,48.878653683476045,2.3493088064439482
982.0,Lycée,40,44.356222013734026,-1.0710344657510074
664.0,Lycée,75,48.882697343211774,2.3634098633460203
240.0,Lycée,75,48.85888939867186,2.2998499394686824
121.0,Lycée,75,48.84416162314681,2.2983404444001345
371.0,Lycée,95,48.978731804089406,2.200460336897072
577.0,Lycée,29,48.40671140964189,-4.4800397322764836
389.0,Lycée,31,43.45135348468647,2.005557366316111
947.0,Lycée,12,44.349643434851636,2.559919500315567
195.0,Lycée,58,47.41246078761385,2.9235196220946116
225.0,Lycée,69,45.897099240762465,4.444200605734137
892.0,Lycée,17,45.44206860225271,-0.4318296518453756
157.0,Lycée,31,43.577385667103265,1.4780598598853874
170.0,Lycée,971,16.258537267560456,-61.59069997927807
160.0,Lycée,971,15.992759602281366,-61.72448028043167
279.0,Lycée,971,15.99533720376026,-61.72308003573411
429.0,Lycée,69,45.768222024154845,4.846630036339837
276.0,Lycée,21,47.29094293744478,5.009549564634213
797.0,Lycée,974,-21.38266664836146,55.609930472330866
541.0,Lycée,86,46.68375987342658,0.3750695581247075
286.0,Lycée,83,43.14087077404224,5.881270374742101
1248.0,Lycée,60,49.2586212638418,2.47333063537428
207.0,Lycée,56,48.13939884549479,-3.6094604854586696
98.0,Lycée,22,48.459235338427725,-2.5116500411632168
862.0,Lycée,57,49.36335246880851,6.151409392886138
603.0,Lycée,01,46.15541593534657,5.602849356998366
498.0,Lycée,69,45.737148425709314,4.870620025169991
256.0,Lycée,69,45.717146026384526,4.882070411712935
297.0,Lycée,80,49.877640307044324,2.2946694435722703
496.0,Lycée,69,45.78358479941146,4.788029401043644
678.0,Lycée,974,-21.02762966806293,55.26920978572877
644.0,Lycée,69,45.99188790972863,4.710569795913528
1186.0,Lycée,41,47.808597687450074,1.056399866469141
642.0,Lycée,18,47.22842939716346,2.062540081985133
1867.0,Lycée,82,44.01479106430311,1.3679304410695676
1095.0,Lycée,974,-20.90001640633761,55.54574987482255
306.0,Lycée,86,46.800752830497935,0.5433498349537721
1567.0,Lycée,22,48.732064075535824,-3.4500497901101643
933.0,Lycée,22,48.18485419441327,-2.7593795968754677
245.0,Lycée,57,49.302729748695896,6.11453973063167
981.0,Lycée,54,48.66290099025871,6.151910547682995
670.0,Lycée,94,48.7945218364921,2.462664279836746
312.0,Lycée,94,48.819387377981606,2.4661533871519725
573.0,Lycée,93,48.88341235247164,2.4298002079573893
500.0,Lycée,16,45.64981724229697,0.15043942253585954
1725.0,Lycée,41,47.59544339381901,1.3387700845610522
155.0,Lycée,64,43.30536564324775,-0.3778401898177861
334.0,Lycée,61,48.586621452534274,-0.35987018284005345
638.0,Lycée,44,47.243514762963066,-1.5622918229573295
1375.0,Lycée,17,45.95115038157292,-0.9704303568465968
696.0,Lycée,92,48.94080600370007,2.326239960828852
586.0,Lycée,57,49.10556383604596,6.2120595553844
1186.0,Lycée,75,48.89523903637971,2.3152702151488693
464.0,Lycée,31,43.61119477381538,1.3489701969351588
527.0,Lycée,02,49.61441743603493,3.2209993583191534
1041.0,Lycée,60,49.38532643849857,2.780289962648359
99.0,Lycée,68,47.61136704744399,7.212010267792863
198.0,Lycée,81,43.48435524521439,2.374650431568007
160.0,Lycée,33,45.0153935970526,-0.060154969187187865
410.0,Lycée,40,43.896966395768025,-0.5144638818705521
938.0,Lycée,33,45.19500989686162,-0.7494707834540737
1258.0,Lycée,45,47.7863652315245,1.6202502186829912
265.0,Lycée,75,48.820715464470396,2.3603394244216216
922.0,Lycée,59,50.359805483356865,3.5294906529605417
375.0,Lycée,06,43.70896009318373,7.281420476735443
1292.0,Lycée,21,47.319583246051494,5.046110048170073
463.0,Lycée,63,45.77129443520288,3.09015039796733
1527.0,Lycée,77,48.39536818014903,2.9608095411843753
490.0,Lycée,77,48.654887602632854,2.5638102563586624
760.0,Lycée,32,43.612862062689686,1.0849200320288808
621.0,Lycée,72,48.02267931522775,0.179500026477616
477.0,Lycée,75,48.8438104493388,2.330919541775168
1278.0,Lycée,75,48.82743459693139,2.3623397380279245
75.0,Lycée,58,46.83898520011375,3.457020533802156
321.0,Lycée,83,43.101225699783285,5.876869584535543
923.0,Lycée,75,48.837284822881614,2.2855402933184266
265.0,Lycée,47,44.49779847732451,0.17228136848640158
554.0,Lycée,59,50.251201648223464,3.913650665939072
37.0,Lycée,73,45.69311021194982,5.8997201830921755
