Nombre_d_eleves,Type_etablissement,Code_departement,latitude,longitude
212.0,Collège,75,48.84255118318582,2.400610315338017
37.0,Collège,971,16.20589665034107,-61.600769839364254
13.0,Collège,77,48.892472619073565,2.596760397434453
18.0,Collège,75,48.84377564981531,2.258940412536361
39.0,Collège,60,49.393370606991994,2.7964102004681037
14.0,Collège,95,49.05137187390501,2.0711903466011528
54.0,Collège,95,48.99556880343165,2.3896905658222733
16.0,Collège,94,48.76726287118464,2.5875737877536733
9.0,Collège,95,48.97754844585949,2.2747531315975853
19.0,Collège,30,44.068140990514,4.115949690899897
73.0,Collège,35,48.16328843938766,-1.7037903805799988
33.0,Collège,74,46.04378284971872,6.141890466059107
9.0,Collège,69,45.75481744180847,4.895269871762924
27.0,Collège,72,47.9988523186681,0.195639732845476
200.0,Collège,973,5.489032819433176,-54.01564034603039
24.0,Collège,69,45.75245566470488,4.866539526936706
13.0,Collège,68,47.78748328452423,7.220679909654898
5.0,Collège,67,48.93674085702903,7.076518434118571
5.0,Collège,34,43.62942603971296,3.693169934110181
6.0,Collège,69,45.77863047193056,4.867290067010238
5.0,Collège,01,46.312108027340784,6.118480634366487
14.0,Collège,13,43.284250323814376,5.571319596491379
25.0,Collège,29,47.972765299641196,-4.065650180477121
5.0,Collège,30,43.77110877763207,4.34753952553998
5.0,Collège,31,43.65019628244937,1.6454395271483966
13.0,Collège,35,48.13006647062335,-2.1510396972239945
24.0,Collège,44,47.21985495746551,-1.5165504565487438
105.0,Collège,44,47.26458402996994,-1.5331689630167562
5.0,Collège,45,47.99581441616429,2.7441106016748877
8.0,Collège,54,48.68602069995474,6.168837665491992
9.0,Collège,58,47.407792783599994,3.233099874520524
93.0,Collège,59,50.67055113861882,3.149580419857045
37.0,Collège,59,50.688822388457076,3.1645294803453607
5.0,Collège,67,48.700646695828645,7.783659719409537
23.0,Collège,69,46.115500290238806,4.710448709166977
149.0,Collège,69,45.71174779522985,4.890470323811006
23.0,Collège,74,45.886202345906,6.104560186362552
27.0,Collège,75,48.84186895227838,2.264180676969884
23.0,Collège,77,48.497996687603035,3.2487596942546673
87.0,Collège,78,48.795728249024656,2.15127063955848
14.0,Collège,83,43.32804747129733,6.601159888931029
57.0,Collège,88,48.22360616691452,5.890709845894616
6.0,Collège,92,48.82606868044515,2.245133372607868
163.0,Collège,93,48.946627021421534,2.5270396681947713
40.0,Collège,95,49.00204785240602,2.174056267422539
502.0,Collège,78,48.88953777288187,2.1532002373323973
454.0,Collège,59,50.66926504570404,3.184409315166172
464.0,Collège,27,49.24581596414394,1.4071803126276512
641.0,Collège,94,48.8346329051116,2.507540444458262
85.0,Collège,04,44.34521473138083,6.029739592971906
665.0,Collège,69,45.69021459401582,4.943090571038411
838.0,Collège,77,48.87834645994462,2.588360337488558
518.0,Collège,77,48.947231389108715,2.686644653515988
451.0,Collège,78,48.91917207493013,2.026570274591355
450.0,Collège,78,48.7614486984691,2.045999558979
868.0,Collège,92,48.92544321615774,2.251499445175029
139.0,Collège,17,46.11810673978342,-0.9330905423919326
388.0,Collège,79,46.646284646976326,-0.24735990323261695
660.0,Collège,62,50.32940314377099,2.9929899978489933
390.0,Collège,62,50.47531115423203,2.990669874398844
331.0,Collège,971,16.132531390496915,-61.5741001198579
180.0,Collège,03,46.315665455810574,2.9503099442877385
417.0,Collège,63,45.54993905774322,3.2475604968462104
200.0,Collège,55,49.33780501516034,5.399650046284551
415.0,Collège,59,50.78203359139404,3.1229107062100936
573.0,Collège,67,48.63190935937411,7.738770516985303
336.0,Collège,34,43.457729161156244,3.423849912919928
95.0,Collège,30,44.349591915242776,3.948580228872949
206.0,Collège,23,46.08689111376171,2.040825604614496
511.0,Collège,77,48.94767833649828,2.9090196227118943
560.0,Collège,60,49.20271391969206,2.4665593665316505
189.0,Collège,47,44.64970954919762,0.5917866825049275
290.0,Collège,47,44.17703645379198,0.3008556082751894
320.0,Collège,24,45.09683283094656,0.4679825884364834
705.0,Collège,49,47.45792265042387,-0.5348397862691617
311.0,Collège,29,48.68342623289798,-3.992990341256208
306.0,Collège,19,45.44223125977382,1.407413602597244
402.0,Collège,16,45.79700976419893,0.12934051638113345
367.0,Collège,18,47.039611691791045,2.6512601734516754
322.0,Collège,30,44.25936227925928,4.645400038147637
499.0,Collège,06,43.65587061065868,6.922150382885586
518.0,Collège,83,43.16408558354394,6.041090479138902
722.0,Collège,85,46.49736439873272,-1.7789800903680892
452.0,Collège,33,44.811403149273865,-0.5928976934337254
859.0,Collège,33,44.82769670482338,-0.5800610679433605
502.0,Collège,92,48.82399267810341,2.2917006477362905
453.0,Collège,91,48.71318410140671,2.364360616742266
713.0,Collège,44,47.238481118511146,-1.3545704767763718
322.0,Collège,49,47.14491702923426,-0.5268899040076572
721.0,Collège,42,45.53531972175273,4.375129864476932
431.0,Collège,36,46.804550699833506,1.672310500826376
265.0,Collège,75,48.8455763863819,2.3316504129059505
332.0,Collège,17,45.88492371687665,-1.193370248566259
565.0,Collège,25,47.25213678280834,6.058809727271882
364.0,Collège,70,47.54793862312538,6.4300497673439745
645.0,Collège,70,47.619292114860784,6.159239685790764
557.0,Collège,76,49.54024182185789,0.9651298373234372
294.0,Collège,76,49.461499242041064,1.5165699926363023
243.0,Collège,76,49.82913534823216,1.3945504589047448
94.0,Collège,14,48.85062766178253,-0.5543202096100508
422.0,Collège,03,46.120378810548,3.40070020291248
62.0,Collège,63,45.78193123548757,3.0123295304451947
349.0,Collège,37,47.40321009533461,0.7169597293994722
518.0,Collège,77,48.47320414645007,2.5561697167226725
